Starting Step	1	Sun Apr  7 21:06:04 2019
Damping Factor:	300
Iteration:	75

Substep:	1
MEL:	665707	MELES:	192304
Equs:	366030	Non-zeroes:	6723423
iters time:	2	Sun Apr  7 21:06:06 2019

Substep:	2
MEL:	666168	MELES:	192304
Equs:	366030	Non-zeroes:	6727572
iters time:	2	Sun Apr  7 21:06:08 2019

Substep:	3
MEL:	666700	MELES:	192304
Equs:	366030	Non-zeroes:	6732360
iters time:	2	Sun Apr  7 21:06:10 2019

Substep:	4
MEL:	667234	MELES:	192304
Equs:	366030	Non-zeroes:	6737166
iters time:	2	Sun Apr  7 21:06:12 2019

Substep:	5
MEL:	667677	MELES:	192304
Equs:	366030	Non-zeroes:	6741153
iters time:	2	Sun Apr  7 21:06:14 2019

Substep:	6
MEL:	668195	MELES:	192304
Equs:	366030	Non-zeroes:	6745815
iters time:	2	Sun Apr  7 21:06:16 2019

Substep:	7
MEL:	668716	MELES:	192304
Equs:	366030	Non-zeroes:	6750504
iters time:	2	Sun Apr  7 21:06:18 2019

Substep:	8
MEL:	669236	MELES:	192304
Equs:	366030	Non-zeroes:	6755184
iters time:	2	Sun Apr  7 21:06:20 2019

Substep:	9
MEL:	669750	MELES:	192304
Equs:	366030	Non-zeroes:	6759810
iters time:	2	Sun Apr  7 21:06:22 2019

Substep:	10
MEL:	670290	MELES:	192304
Equs:	366030	Non-zeroes:	6764670
iters time:	2	Sun Apr  7 21:06:24 2019

Substep:	11
MEL:	670827	MELES:	192304
Equs:	366030	Non-zeroes:	6769503
iters time:	2	Sun Apr  7 21:06:25 2019

Substep:	12
MEL:	671382	MELES:	192304
Equs:	366030	Non-zeroes:	6774498
iters time:	2	Sun Apr  7 21:06:27 2019

Substep:	13
MEL:	671857	MELES:	192304
Equs:	366030	Non-zeroes:	6778773
iters time:	2	Sun Apr  7 21:06:29 2019

Substep:	14
MEL:	672316	MELES:	192304
Equs:	366030	Non-zeroes:	6782904
iters time:	2	Sun Apr  7 21:06:31 2019

Substep:	15
MEL:	672874	MELES:	192304
Equs:	366030	Non-zeroes:	6787926
iters time:	2	Sun Apr  7 21:06:33 2019

Substep:	16
MEL:	673434	MELES:	192304
Equs:	366030	Non-zeroes:	6792966
iters time:	2	Sun Apr  7 21:06:35 2019

Substep:	17
MEL:	673934	MELES:	192304
Equs:	366030	Non-zeroes:	6797466
iters time:	2	Sun Apr  7 21:06:37 2019

Substep:	18
MEL:	674527	MELES:	192304
Equs:	366030	Non-zeroes:	6802803
iters time:	2	Sun Apr  7 21:06:39 2019

Substep:	19
MEL:	674967	MELES:	192304
Equs:	366030	Non-zeroes:	6806763
iters time:	2	Sun Apr  7 21:06:41 2019

Substep:	20
MEL:	675598	MELES:	192304
Equs:	366030	Non-zeroes:	6812442
iters time:	2	Sun Apr  7 21:06:43 2019

Substep:	21
MEL:	676129	MELES:	192304
Equs:	366030	Non-zeroes:	6817221
iters time:	2	Sun Apr  7 21:06:45 2019

Substep:	22
MEL:	676652	MELES:	192304
Equs:	366030	Non-zeroes:	6821928
iters time:	2	Sun Apr  7 21:06:47 2019

Substep:	23
MEL:	677199	MELES:	192304
Equs:	366030	Non-zeroes:	6826851
iters time:	2	Sun Apr  7 21:06:49 2019

Substep:	24
MEL:	677688	MELES:	192304
Equs:	366030	Non-zeroes:	6831252
iters time:	2	Sun Apr  7 21:06:51 2019

Substep:	25
MEL:	678200	MELES:	192304
Equs:	366030	Non-zeroes:	6835860
iters time:	2	Sun Apr  7 21:06:53 2019

Substep:	26
MEL:	678724	MELES:	192304
Equs:	366030	Non-zeroes:	6840576
iters time:	2	Sun Apr  7 21:06:55 2019

Substep:	27
MEL:	679274	MELES:	192304
Equs:	366030	Non-zeroes:	6845526
iters time:	2	Sun Apr  7 21:06:57 2019

Substep:	28
MEL:	679808	MELES:	192304
Equs:	366030	Non-zeroes:	6850332
iters time:	2	Sun Apr  7 21:06:59 2019

Substep:	29
MEL:	680249	MELES:	192304
Equs:	366030	Non-zeroes:	6854301
iters time:	2	Sun Apr  7 21:07:01 2019

Substep:	30
MEL:	680711	MELES:	192304
Equs:	366030	Non-zeroes:	6858459
iters time:	2	Sun Apr  7 21:07:03 2019

Substep:	31
MEL:	681181	MELES:	192304
Equs:	366030	Non-zeroes:	6862689
iters time:	2	Sun Apr  7 21:07:05 2019

Substep:	32
MEL:	681751	MELES:	192304
Equs:	366030	Non-zeroes:	6867819
iters time:	2	Sun Apr  7 21:07:07 2019

Substep:	33
MEL:	682188	MELES:	192304
Equs:	366030	Non-zeroes:	6871752
iters time:	2	Sun Apr  7 21:07:09 2019

Substep:	34
MEL:	682705	MELES:	192304
Equs:	366030	Non-zeroes:	6876405
iters time:	2	Sun Apr  7 21:07:11 2019

Substep:	35
MEL:	683199	MELES:	192304
Equs:	366030	Non-zeroes:	6880851
iters time:	2	Sun Apr  7 21:07:13 2019

Substep:	36
MEL:	683735	MELES:	192304
Equs:	366030	Non-zeroes:	6885675
iters time:	2	Sun Apr  7 21:07:15 2019

Substep:	37
MEL:	684300	MELES:	192304
Equs:	366030	Non-zeroes:	6890760
iters time:	2	Sun Apr  7 21:07:17 2019

Substep:	38
MEL:	684765	MELES:	192304
Equs:	366030	Non-zeroes:	6894945
iters time:	2	Sun Apr  7 21:07:19 2019

Substep:	39
MEL:	685292	MELES:	192304
Equs:	366030	Non-zeroes:	6899688
iters time:	2	Sun Apr  7 21:07:21 2019

Substep:	40
MEL:	685768	MELES:	192304
Equs:	366030	Non-zeroes:	6903972
iters time:	2	Sun Apr  7 21:07:23 2019

Substep:	41
MEL:	686357	MELES:	192304
Equs:	366030	Non-zeroes:	6909273
iters time:	2	Sun Apr  7 21:07:25 2019

Substep:	42
MEL:	686845	MELES:	192304
Equs:	366030	Non-zeroes:	6913665
iters time:	2	Sun Apr  7 21:07:27 2019

Substep:	43
MEL:	687294	MELES:	192304
Equs:	366030	Non-zeroes:	6917706
iters time:	2	Sun Apr  7 21:07:29 2019

Substep:	44
MEL:	687822	MELES:	192304
Equs:	366030	Non-zeroes:	6922458
iters time:	2	Sun Apr  7 21:07:31 2019

