x_coord,y_coord,z_coord
0.00310566,0.000218022,0.00042037
0.00297276,0.000232714,0.000412694
0.00287917,0.000253794,0.000401248
0.00281535,0.000279527,0.000387805
0.00277172,0.000308177,0.000374139
0.002739,0.00033835,0.000362156
0.00271769,0.000380636,0.000358494
0.00271131,0.000448495,0.000370445
0.00270384,0.00052447,0.000391643
0.00269594,0.000600007,0.000417933
0.00269233,0.000674693,0.000446444
0.00269426,0.000748743,0.000475982
0.00270005,0.000822522,0.000505435
0.00270692,0.000896149,0.000534498
0.00271285,0.000970392,0.000561341
0.00271589,0.00104581,0.000584323
0.0027177,0.00112012,0.000604692
0.00272488,0.00119204,0.000622212
0.00272478,0.00126312,0.000637464
0.00271813,0.00133614,0.000651287
0.00271638,0.00141309,0.000664407
0.00271422,0.0014925,0.000676516
0.00271219,0.00157224,0.000688188
0.00271067,0.00165217,0.000699972
0.0027098,0.00173243,0.000710922
0.00270988,0.00181315,0.000720513
0.00271044,0.00189415,0.000727936
0.00271108,0.00197535,0.00073422
0.00271117,0.00205667,0.000739193
0.00271109,0.00213816,0.000742247
0.00271067,0.00221969,0.000744312
0.00271014,0.00230126,0.000746557
0.00270968,0.00238289,0.000748553
0.00270925,0.00246455,0.000749815
0.00270885,0.00254625,0.000750486
0.00270825,0.00262794,0.000750063
0.00270776,0.00270962,0.000749392
0.00270733,0.00279124,0.000748271
0.00270686,0.00287287,0.000746981
0.00270626,0.00295441,0.000744897
0.00270552,0.00303589,0.000741898
0.00270469,0.00311725,0.000738136
0.00270341,0.00319845,0.000733826
0.00270178,0.00327954,0.000728656
0.00270031,0.00336049,0.000722344
0.00269975,0.00344105,0.000714064
0.00269994,0.00352145,0.000705395
0.00270068,0.00360176,0.00069628
0.00270154,0.00368184,0.000685933
0.00270253,0.00376158,0.000674201
0.00270408,0.00384087,0.000660617
0.00270706,0.00391988,0.000645847
0.00270869,0.00399876,0.000629603
0.00270834,0.0040776,0.000611838
0.00270779,0.00415617,0.000592252
0.00270753,0.00423215,0.000570855
0.002708,0.00429659,0.000551636
0.00270931,0.00436885,0.000529416
